Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
48,CCAFS,GovSat-1,"5,300 kg",GTO,PSN,"Success
",,Success,31 January 2018,21:25
49,VAFB,Paz,"~4,000 kg",SSO,NASA,"Success
",,Success,22 February 2018,14:17
50,CCAFS,Hispasat 30W-6,"2,500 kg",LEO,NASA,"Success
",,Success,6 March 2018,05:33
51,VAFB,Iridium NEXT,"4,400 kg",MEO,SpaceX,"Success
",,Success,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,"9,600 kg",Polar,Canadian Space Agency,"Success
",,Success,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,"4,850 kg",GTO,NASA,"Success
",,Success,18 April 2018,22:51
54,KSC,Bangabandhu-1,"12,055 kg",LEO,Spacecom,"Success
",,No attempt,11 May 2018,20:14
55,VAFB,Iridium NEXT,"2,495 kg",LEO,SpaceX,"Success
",,Success,22 May 2018,19:47
56,CCAFS,SES-12,"13,620 kg",LEO,NASA,"Success
",,Success,4 June 2018,04:45
57,CCAFS,SpaceX CRS-15,"4,200 kg",SSO,Sky Perfect JSAT,"Success
",,Success,29 June 2018,09:42
58,CCAFS,Telstar 19V,"2,268 kg",LEO,SpaceX,"Success
",,Success,22 July 2018,05:50
59,VAFB,Iridium NEXT,"6,500 kg",GTO,NASA,"Success
",,"No attempt
",25 July 2018,11:39
60,CCAFS,Merah Putih,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 August 2018,05:18
61,CCAFS,Telstar 18V,"2,617 kg",LEO,SpaceX,"Success
",,Failure,10 September 2018,04:45
62,VAFB,SAOCOM 1A,"6,956 kg",GTO,NASA,"Success
",,Success,8 October 2018,02:22
63,KSC,Es'hail 2,"15,600 kg",LEO,SpaceX,"Success
",,Failure,15 November 2018,20:46
64,VAFB,SSO-A,"12,050 kg",Sub-orbital,SpaceX,"Success
",,Success,3 December 2018,18:34:05
65,CCAFS,SpaceX CRS-16,"15,600 kg",LEO,NASA,"Success
",,Success,5 December 2018,18:16
66,CCAFS,GPS III,"15,600 kg",LEO,SpaceX,"Success
",,Success,23 December 2018,13:51
67,VAFB,Iridium NEXT,"1,977 kg",LEO,SpaceX,"Success
",,Success,11 January 2019,15:31
68,CCAFS,Nusantara Satu,"15,600 kg",LEO,U.S. Space Force,"Success
",,Success,22 February 2019,01:45
69,KSC,Crew Dragon Demo-1,"15,600 kg",LEO,Republic of Korea Army,"Success
",,Success,2 March 2019,07:49
70,CCAFS,SpaceX CRS-17,"12,530 kg",LEO,SpaceX,"Success
",,Success,4 May 2019,06:48
71,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 May 2019,02:30
72,VAFB,RADARSAT Constellation,"15,410 kg",LEO,CONAE,"Success
",,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-18,"4,311 kg",MEO,SpaceX,"Success
",,Success,25 July 2019,22:01
74,CCAFS,AMOS-17,"5,000–6,000 kg",GTO,SpaceX,"Success
",,Success,6 August 2019,23:23
75,CCAFS,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,11 November 2019,14:56
76,CCAFS,SpaceX CRS-19,"~15,440 kg",LEO,SpaceX,"Success
",,Success,5 December 2019,17:29
77,CCAFS,JCSat-18,"3,130 kg",SSO,USSF,"Success
",,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,7 January 2020,02:19:21
79,KSC,Crew Dragon in-flight abort test,"15,600 kg",LEO,NASA,"Success
",,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 January 2020,14:07
81,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,17 February 2020,15:05
82,CCAFS,SpaceX CRS-20,"4,311 kg",MEO,Sirius XM,"Success
",,Success,7 March 2020,04:50
83,KSC,Starlink,"~12,500 kg",LEO,NRO,"Success
",,Success,18 March 2020,12:16
84,KSC,Starlink,"1,192 kg",LEO,Türksat,"Success
",,Success,22 April 2020,19:30
85,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 May 2020,19:22
86,CCAFS,Starlink,"2,972 kg",LEO,various,"Success
",,Success,4 June 2020,01:25
87,CCAFS,Starlink,"7,000 kg",GTO,SpaceX,"Success
",,Success,13 June 2020,09:21
88,CCAFS,GPS III,C,LEO,SpaceX,"Success
",,Failure,30 June 2020,20:10:46
89,CCAFS,ANASIS-II,"3,500 kg",GTO,SpaceX,"Success
",,Success,20 July 2020,21:30
90,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,05:12
91,CCAFS,Starlink,"~5,000 kg",SSO,SpaceX,"Success
",,Success,18 August 2020,14:31
92,CCAFS,SAOCOM 1B,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,6 October 2020,11:29:34
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,12:25:57
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 October 2020,15:31:34
97,CCAFS,GPS III,"15,600 kg",LEO,SpaceX,"Success
",,Success,5 November 2020,23:24:23
98,KSC,Crew-1,"15,600 kg",LEO,SpaceX,"Success
",,Success,16 November 2020,00:27
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"~13,000 kg",LEO,SpaceX,"Success
",,Success,21 November 2020,17:17:08
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,25 November 2020,02:13
101,KSC,SpaceX CRS-21,"15,600 kg",LEO,Sirius XM,"Success
",,Success,6 December 2020,16:17:08
102,CCSFS,SXM-7,"15,600 kg",LEO,,"Success
",,Failure,13 December 2020,17:30:00
103,KSC,NROL-108,"~14,000 kg",LEO,,Success,,Failure,19 December 2020,14:00:00
104,CCSFS,Türksat 5A,"15,600 kg",LEO,,Success,,"No attempt
",8 January 2021,02:15
105,KSC,Starlink,"3,328 kg",LEO,,"Success
",,No attempt,20 January 2021,13:02
106,CCSFS,Transporter-1,"7,000 kg",GTO,,"Success
",,"No attempt
",24 January 2021,15:00
107,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,,Success,,Uncontrolled,4 February 2021,06:19
108,CCSFS,Dragon,0,LEO,,Success,,No attempt,16 February 2021,03:59:37
109,KSC,Dragon,525 kg,LEO,,Success,,No attempt,4 March 2021,08:24
110,CCSFS,SpaceX CRS-1,"4,700 kg",LEO,,"Success
",,Controlled,11 March 2021,08:13:29
111,KSC,SpaceX CRS-2,"4,877 kg",LEO,,Success,,Controlled,14 March 2021,10:01
112,CCSFS,CASSIOPE,500 kg,Polar orbit,,Success,,No attempt,24 March 2021,08:28
113,CCSFS,SES-8,"3,170 kg",GTO,,Success,,"No attempt
",7 April 2021,16:34
114,KSC,Thaicom 6,"3,325 kg",GTO,,Success,,Uncontrolled,23 April 2021,9:49
115,CCSFS,SpaceX CRS-3,"2,296 kg",LEO,,Success,,Failure ,29 April 2021,03:44
116,KSC,Orbcomm-OG2,"1,316 kg",LEO,,"Success
",,Controlled,4 May 2021,19:01
117,CCSFS,AsiaSat 8,"4,535 kg",GTO,,"Success
",,No attempt,9 May 2021,06:42
118,KSC,AsiaSat 6,"4,428 kg",GTO,,"Success
",,Failure,15 May 2021,22:56
119,CCSFS,SpaceX CRS-4,"2,216 kg",LEO,,"Success
",,No attempt,26 May 2021,18:59
120,KSC,SpaceX CRS-5,"2,395 kg",LEO,,Failure,,Precluded,3 June 2021,17:29
121,CCSFS,DSCOVR,570 kg,HEO,,"Success
",,Success,6 June 2021,04:26
1,CCAFS,ABS-3A,"4,159 kg",GTO,,"Success
",,Failure,4 June 2010,18:45
2,CCAFS,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",,Failure,8 December 2010,15:43
3,CCAFS,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,,Success,22 May 2012,07:44
4,CCAFS,SpaceX CRS-7,"1,952 kg",LEO,,"Success
",,Success,8 October 2012,00:35
5,CCAFS,Orbcomm-OG2,"2,034 kg",LEO,,"Success
",,Success,1 March 2013,15:10
6,VAFB,Jason-3,553 kg,LEO,,"Success
",,Failure,29 September 2013,16:00
7,CCAFS,SES-9,"5,271 kg",GTO,,"Success
",,Success,3 December 2013,22:41
8,CCAFS,SpaceX CRS-8,"3,136 kg",LEO,,"Success
",,Success,6 January 2014,22:06
9,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,,"Success
",,Success,18 April 2014,19:25
10,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,,"Success
",,Success,14 July 2014,15:15
11,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,"Success
",,No attempt,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,Success,,Success,7 September 2014,05:00
13,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,"Success
",,Success,21 September 2014,05:52
14,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,,"Success
",,No attempt,10 January 2015,09:47
15,Cape Canaveral,SpaceX CRS-10,"2,490 kg",LEO,,"Success
",,Success,11 February 2015,23:03
16,Cape Canaveral,EchoStar 23,"5,600 kg",GTO,,"Success
",,Success,2 March 2015,03:50
17,Cape Canaveral,SES-10,"5,300 kg",GTO,,"Success
",,Success,14 April 2015,20:10
18,Cape Canaveral,NROL-76,C,LEO,,"Success
",,No attempt,27 April 2015,23:03
19,Cape Canaveral,Inmarsat-5 F4,"6,070 kg",GTO,,"Success
",,Success,28 June 2015,14:21
20,Cape Canaveral,SpaceX CRS-11,"2,708 kg",LEO,,"Success
",,Success,22 December 2015,01:29
21,VAFB,BulgariaSat-1,"3,669 kg",GTO,,"Success
",,Success,17 January 2016,18:42
22,Cape Canaveral,Iridium NEXT,"9,600 kg",LEO,,"Success
",,Success,4 March 2016,23:35
23,Cape Canaveral,Intelsat 35e,"6,761 kg",GTO,,"Success
",,Success,8 April 2016,20:43
24,Cape Canaveral,SpaceX CRS-12,"3,310 kg",LEO,,"Success
",,Success,6 May 2016,05:21
25,Cape Canaveral,Formosat-5,475 kg,SSO,,"Success
",,Success,27 May 2016,21:39
26,Cape Canaveral,Boeing X-37B,"4,990 kg",LEO,,Success,,Controlled,15 June 2016,14:29
27,Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,,Success,,Success,18 July 2016,04:45
28,Cape Canaveral,SES-11,"5,200 kg",GTO,,Success,,Controlled,14 August 2016,05:26
29,VAFB,Koreasat 5A,"3,500 kg",GTO,,Success,,No attempt,14 January 2017,17:54
30,KSC,SpaceX CRS-13,"2,205 kg",LEO,,Success,,No attempt,19 February 2017,14:39
31,KSC,Iridium NEXT,"9,600 kg",Polar,,Success,,No attempt,16 March 2017,06:00
32,KSC,Zuma,C,LEO,,Success,,No attempt,30 March 2017,22:27
33,KSC,GovSat-1,"4,230 kg",GTO,,Success,,Success,1 May 2017,11:15
34,KSC,Paz,"2,150 kg",SSO,,Success,,Success,15 May 2017,23:21
35,KSC,Hispasat 30W-6,"6,092 kg",GTO,,Success,,No attempt,3 June 2017,21:07
36,KSC,Iridium NEXT,"9,600 kg",Polar,,Success,,No attempt,23 June 2017,19:10
37,VAFB,SpaceX CRS-14,"2,647 kg",LEO,,Success,,No attempt,25 June 2017,20:25
38,KSC,Transiting Exoplanet Survey Satellite,362 kg,HEO,,Success,,Success,5 July 2017,23:38
39,KSC,Bangabandhu-1,"3,600 kg",GTO,,Success,,Success,14 August 2017,16:31
40,VAFB,Iridium NEXT,"6,460 kg",Polar,,Success,,Success,24 August 2017,18:51
41,KSC,SES-12,"5,384 kg",GTO,,Success,,Success,7 September 2017,14:00
42,VAFB,SpaceX CRS-15,"2,697 kg",LEO,,Success,,Success,9 October 2017,12:37
43,KSC,Telstar 19V,"7,075 kg",GTO,,Success,,Success,11 October 2017,22:53:00
44,KSC,Iridium NEXT,"9,600 kg",Polar,,Success,,Success,30 October 2017,19:34
45,Cape Canaveral,Merah Putih,"5,800 kg",GTO,,"Success
",,Failure,15 December 2017,15:36
46,VAFB,Telstar 18V,"7,060 kg",GTO,,Success,,No attempt,23 December 2017,01:27
47,CCAFS,SAOCOM 1A,"3,000 kg",SSO,,"Success
",,Success,8 January 2018,01:00
48,CCAFS,Es'hail 2,"5,300 kg",GTO,,"Success
",,Success,31 January 2018,21:25
49,VAFB,SSO-A,"~4,000 kg",SSO,,"Success
",,Success,22 February 2018,14:17
50,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,,"Success
",,Success,6 March 2018,05:33
51,VAFB,GPS III,"4,400 kg",MEO,,"Success
",,Success,30 March 2018,14:14
52,CCAFS,Iridium NEXT,"9,600 kg",Polar,,"Success
",,Success,2 April 2018,20:30
53,CCAFS,Nusantara Satu,"4,850 kg",GTO,,"Success
",,Success,18 April 2018,22:51
54,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,"Success
",,No attempt,11 May 2018,20:14
55,VAFB,SpaceX CRS-17,"2,495 kg",LEO,,"Success
",,Success,22 May 2018,19:47
56,CCAFS,Starlink,"13,620 kg",LEO,,"Success
",,Success,4 June 2018,04:45
57,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,,"Success
",,Success,29 June 2018,09:42
58,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,"Success
",,Success,22 July 2018,05:50
59,VAFB,AMOS-17,"6,500 kg",GTO,,"Success
",,"No attempt
",25 July 2018,11:39
60,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,7 August 2018,05:18
61,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,,"Success
",,Failure,10 September 2018,04:45
62,VAFB,JCSat-18,"6,956 kg",GTO,,"Success
",,Success,8 October 2018,02:22
63,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Failure,15 November 2018,20:46
64,VAFB,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,"Success
",,Success,3 December 2018,18:34:05
65,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,5 December 2018,18:16
66,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,23 December 2018,13:51
67,VAFB,SpaceX CRS-20,"1,977 kg",LEO,,"Success
",,Success,11 January 2019,15:31
68,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,22 February 2019,01:45
69,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,2 March 2019,07:49
70,CCAFS,Crew Dragon Demo-2,"12,530 kg",LEO,,"Success
",,Success,4 May 2019,06:48
71,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,24 May 2019,02:30
72,VAFB,Starlink,"15,410 kg",LEO,,"Success
",,Success,12 June 2019,14:17
73,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",,Success,25 July 2019,22:01
74,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,,"Success
",,Success,6 August 2019,23:23
75,CCAFS,Starlink,"14,932 kg",LEO,,"Success
",,Success,11 November 2019,14:56
76,CCAFS,Starlink,"~15,440 kg",LEO,,"Success
",,Success,5 December 2019,17:29
77,CCAFS,SAOCOM 1B,"3,130 kg",SSO,,"Success
",,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,7 January 2020,02:19:21
79,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,29 January 2020,14:07
81,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,17 February 2020,15:05
82,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",,Success,7 March 2020,04:50
83,KSC,Crew-1,"~12,500 kg",LEO,,"Success
",,Success,18 March 2020,12:16
84,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,,"Success
",,Success,22 April 2020,19:30
85,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,30 May 2020,19:22
86,CCAFS,SpaceX CRS-21,"2,972 kg",LEO,,"Success
",,Success,4 June 2020,01:25
87,CCAFS,SXM-7,"7,000 kg",GTO,,"Success
",,Success,13 June 2020,09:21
88,CCAFS,NROL-108,C,LEO,,"Success
",,Failure,30 June 2020,20:10:46
89,CCAFS,Türksat 5A,"3,500 kg",GTO,,"Success
",,Success,20 July 2020,21:30
90,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,7 August 2020,05:12
91,CCAFS,Transporter-1,"~5,000 kg",SSO,,"Success
",,Success,18 August 2020,14:31
92,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,6 October 2020,11:29:34
95,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,18 October 2020,12:25:57
96,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,24 October 2020,15:31:34
97,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,5 November 2020,23:24:23
98,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,16 November 2020,00:27
99,VAFB,Crew-2,"~13,000 kg",LEO,,"Success
",,Success,21 November 2020,17:17:08
100,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,25 November 2020,02:13
101,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,6 December 2020,16:17:08
102,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",,Failure,13 December 2020,17:30:00
103,KSC,Starlink,"~14,000 kg",LEO,,Success,,Failure,19 December 2020,14:00:00
104,CCSFS,Starlink,"15,600 kg",LEO,,Success,,"No attempt
",8 January 2021,02:15
105,KSC,SpaceX CRS-22,"3,328 kg",LEO,,"Success
",,No attempt,20 January 2021,13:02
106,CCSFS,SXM-8,"7,000 kg",GTO,,"Success
",,"No attempt
",24 January 2021,15:00
107,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,,Success,,Uncontrolled,4 February 2021,06:19
108,CCAFS,Dragon,0,LEO,,Success,,No attempt,16 February 2021,03:59:37
109,CCAFS,Dragon,525 kg,LEO,,Success,,No attempt,4 March 2021,08:24
110,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,,"Success
",,Controlled,11 March 2021,08:13:29
111,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,,Success,,Controlled,14 March 2021,10:01
112,VAFB,CASSIOPE,500 kg,Polar orbit,,Success,,No attempt,24 March 2021,08:28
113,CCAFS,SES-8,"3,170 kg",GTO,,Success,,"No attempt
",7 April 2021,16:34
114,CCAFS,Thaicom 6,"3,325 kg",GTO,,Success,,Uncontrolled,23 April 2021,9:49
115,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,Success,,Failure ,29 April 2021,03:44
116,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,"Success
",,Controlled,4 May 2021,19:01
117,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,"Success
",,No attempt,9 May 2021,06:42
118,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,"Success
",,Failure,15 May 2021,22:56
119,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,"Success
",,No attempt,26 May 2021,18:59
120,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,Failure,,Precluded,3 June 2021,17:29
121,Cape Canaveral,DSCOVR,570 kg,HEO,,"Success
",,Success,6 June 2021,04:26
1,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,"Success
",,Failure,4 June 2010,18:45
2,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",,Failure,8 December 2010,15:43
3,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,Success,,Success,22 May 2012,07:44
4,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,,"Success
",,Success,8 October 2012,00:35
5,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,,"Success
",,Success,1 March 2013,15:10
6,VAFB,Jason-3,553 kg,LEO,,"Success
",,Failure,29 September 2013,16:00
7,Cape Canaveral,SES-9,"5,271 kg",GTO,,"Success
",,Success,3 December 2013,22:41
8,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,,"Success
",,Success,6 January 2014,22:06
9,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,,"Success
",,Success,18 April 2014,19:25
10,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,,"Success
",,Success,14 July 2014,15:15
11,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,"Success
",,No attempt,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,Success,,Success,7 September 2014,05:00
13,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,"Success
",,Success,21 September 2014,05:52
14,VAFB,Iridium NEXT,"9,600 kg",Polar,,"Success
",,No attempt,10 January 2015,09:47
15,KSC,SpaceX CRS-10,"2,490 kg",LEO,,"Success
",,Success,11 February 2015,23:03
16,KSC,EchoStar 23,"5,600 kg",GTO,,"Success
",,Success,2 March 2015,03:50
17,KSC,SES-10,"5,300 kg",GTO,,"Success
",,Success,14 April 2015,20:10
18,KSC,NROL-76,C,LEO,,"Success
",,No attempt,27 April 2015,23:03
19,KSC,Inmarsat-5 F4,"6,070 kg",GTO,,"Success
",,Success,28 June 2015,14:21
20,KSC,SpaceX CRS-11,"2,708 kg",LEO,,"Success
",,Success,22 December 2015,01:29
21,KSC,BulgariaSat-1,"3,669 kg",GTO,,"Success
",,Success,17 January 2016,18:42
22,VAFB,Iridium NEXT,"9,600 kg",LEO,,"Success
",,Success,4 March 2016,23:35
23,KSC,Intelsat 35e,"6,761 kg",GTO,,"Success
",,Success,8 April 2016,20:43
24,KSC,SpaceX CRS-12,"3,310 kg",LEO,,"Success
",,Success,6 May 2016,05:21
25,VAFB,Formosat-5,475 kg,SSO,,"Success
",,Success,27 May 2016,21:39
26,KSC,Boeing X-37B,"4,990 kg",LEO,,Success,,Controlled,15 June 2016,14:29
27,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,,Success,18 July 2016,04:45
28,KSC,SES-11,"5,200 kg",GTO,,Success,,Controlled,14 August 2016,05:26
29,KSC,Koreasat 5A,"3,500 kg",GTO,,Success,,No attempt,14 January 2017,17:54
30,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,,Success,,No attempt,19 February 2017,14:39
31,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,,No attempt,16 March 2017,06:00
32,CCAFS,Zuma,C,LEO,,Success,,No attempt,30 March 2017,22:27
33,CCAFS,GovSat-1,"4,230 kg",GTO,,Success,,Success,1 May 2017,11:15
34,VAFB,Paz,"2,150 kg",SSO,,Success,,Success,15 May 2017,23:21
35,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,,Success,,No attempt,3 June 2017,21:07
36,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,,No attempt,23 June 2017,19:10
37,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,,Success,,No attempt,25 June 2017,20:25
38,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,,Success,,Success,5 July 2017,23:38
39,KSC,Bangabandhu-1,"3,600 kg",GTO,,Success,,Success,14 August 2017,16:31
40,VAFB,Iridium NEXT,"6,460 kg",Polar,,Success,,Success,24 August 2017,18:51
41,CCAFS,SES-12,"5,384 kg",GTO,,Success,,Success,7 September 2017,14:00
42,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,,Success,,Success,9 October 2017,12:37
43,CCAFS,Telstar 19V,"7,075 kg",GTO,,Success,,Success,11 October 2017,22:53:00
44,VAFB,Iridium NEXT,"9,600 kg",Polar,,Success,,Success,30 October 2017,19:34
45,CCAFS,Merah Putih,"5,800 kg",GTO,,"Success
",,Failure,15 December 2017,15:36
46,CCAFS,Telstar 18V,"7,060 kg",GTO,,Success,,No attempt,23 December 2017,01:27
47,VAFB,SAOCOM 1A,"3,000 kg",SSO,,"Success
",,Success,8 January 2018,01:00
48,KSC,Es'hail 2,"5,300 kg",GTO,,"Success
",,Success,31 January 2018,21:25
49,VAFB,SSO-A,"~4,000 kg",SSO,,"Success
",,Success,22 February 2018,14:17
50,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,,"Success
",,Success,6 March 2018,05:33
51,CCAFS,GPS III,"4,400 kg",MEO,,"Success
",,Success,30 March 2018,14:14
52,VAFB,Iridium NEXT,"9,600 kg",Polar,,"Success
",,Success,2 April 2018,20:30
53,CCAFS,Nusantara Satu,"4,850 kg",GTO,,"Success
",,Success,18 April 2018,22:51
54,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,"Success
",,No attempt,11 May 2018,20:14
55,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,,"Success
",,Success,22 May 2018,19:47
56,CCAFS,Starlink,"13,620 kg",LEO,,"Success
",,Success,4 June 2018,04:45
57,VAFB,RADARSAT Constellation,"4,200 kg",SSO,,"Success
",,Success,29 June 2018,09:42
58,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,"Success
",,Success,22 July 2018,05:50
59,CCAFS,AMOS-17,"6,500 kg",GTO,,"Success
",,"No attempt
",25 July 2018,11:39
60,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,7 August 2018,05:18
61,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,,"Success
",,Failure,10 September 2018,04:45
62,CCAFS,JCSat-18,"6,956 kg",GTO,,"Success
",,Success,8 October 2018,02:22
63,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Failure,15 November 2018,20:46
64,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,"Success
",,Success,3 December 2018,18:34:05
65,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,5 December 2018,18:16
66,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,23 December 2018,13:51
67,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,,"Success
",,Success,11 January 2019,15:31
68,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,22 February 2019,01:45
69,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,2 March 2019,07:49
70,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,,"Success
",,Success,4 May 2019,06:48
71,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,24 May 2019,02:30
72,CCAFS,Starlink,"15,410 kg",LEO,,"Success
",,Success,12 June 2019,14:17
73,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",,Success,25 July 2019,22:01
74,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,,"Success
",,Success,6 August 2019,23:23
75,KSC,Starlink,"14,932 kg",LEO,,"Success
",,Success,11 November 2019,14:56
76,CCAFS,Starlink,"~15,440 kg",LEO,,"Success
",,Success,5 December 2019,17:29
77,CCAFS,SAOCOM 1B,"3,130 kg",SSO,,"Success
",,Success,17 December 2019,00:10
78,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,7 January 2020,02:19:21
79,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,19 January 2020,15:30
80,KSC,Starlink,"15,600 kg",LEO,,"Success
",,Success,29 January 2020,14:07
81,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",,Success,17 February 2020,15:05
82,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",,Success,7 March 2020,04:50
